;Name;Year;Available.Pedigree
851;V0851;1999;V1163 X V1085
852;V0852;1953;NA X NA
853;V0853;2009;V1213 X V0305
854;V0854;2011;V1080 X V0433
855;V0855;2004;V1163 X NA
856;V0856;1967;V0797 X NA
857;V0857;1999;V0983 X NA
858;V0858;2000;NA X NA
859;V0859;1994;NA X NA
860;V0860;2011;NA X NA
861;V0861;2008;NA X NA
862;V0862;1950;V0881 X V0479
863;V0863;2019;V1015 X V0857
864;V0864;1760;NA X NA
865;V0865;2019;NA X NA
866;V0866;1994;V0732 X NA
867;V0867;2008;V0818 X NA
868;V0868;1985;V1042 X V1178
869;V0869;2010;NA X V0072
870;V0870;1908;NA X NA
871;V0871;1997;V0317 X NA
872;V0872;2011;V0809 X NA
873;V0873;1997;V1191 X NA
874;V0874;1983;NA X NA
875;V0875;1972;V0843 X NA
876;V0876;1970;NA X NA
877;V0877;1998;NA X NA
878;V0878;2012;V0367 X NA
879;V0879;1963;V0797 X V1253
880;V0880;1951;V1253 X V0994
881;V0881;1900;NA X NA
882;V0882;1999;V0510 X NA
883;V0883;1934;V0616 X V1262
884;V0884;1994;NA X NA
885;V0885;2011;V0714 X NA
886;V0886;2010;NA X NA
887;V0887;2020;NA X NA
888;V0888;2008;NA X NA
889;V0889;2022;V0793 X V0619
890;V0890;1750;NA X NA
891;V0891;1940;NA X NA
892;V0892;2006;V0825 X NA
893;V0893;1991;NA X NA
894;V0894;1862;NA X NA
895;V0895;1966;NA X V0930
896;V0896;1932;NA X V1262
897;V0897;1960;V0611 X V0797
898;V0898;2007;V0625 X NA
899;V0899;1987;NA X NA
900;V0900;2016;NA X NA
901;V0901;1991;NA X NA
902;V0902;2018;NA X NA
903;V0903;2009;NA X NA
904;V0904;1961;V0047 X NA
905;V0905;1970;V0954 X NA
906;V0906;1996;V0969 X NA
907;V0907;2021;V0295 X NA
908;V0908;2003;NA X NA
909;V0909;1996;NA X NA
910;V0910;1990;V0105 X NA
911;V0911;1999;NA X NA
912;V0912;2015;NA X NA
913;V0913;2004;V1274 X V1255
914;V0914;2007;V0841 X V1015
915;V0915;1934;V0253 X V0147
916;V0916;2001;V1159 X NA
917;V0917;2004;NA X NA
918;V0918;2018;NA X V0252
919;V0919;2002;V0084 X NA
920;V0920;2005;NA X NA
921;V0921;1957;V0040 X NA
922;V0922;1988;V1220 X NA
923;V0923;1953;NA X V0354
924;V0924;2012;NA X NA
925;V0925;2005;NA X V1274
926;V0926;1969;NA X NA
927;V0927;2021;NA X NA
928;V0928;1988;V1277 X NA
929;V0929;2012;NA X NA
930;V0930;1949;NA X NA
931;V0931;1939;NA X NA
932;V0932;2012;V1015 X NA
933;V0933;2008;V1277 X V0244
934;V0934;1998;V0422 X NA
935;V0935;1966;V0797 X NA
936;V0936;2002;NA X NA
937;V0937;1990;NA X NA
938;V0938;1945;NA X NA
939;V0939;1950;V0514 X V0211
940;V0940;1972;NA X V0047
941;V0941;2017;NA X NA
942;V0942;2008;NA X V1080
943;V0943;1920;NA X NA
944;V0944;1927;V0479 X NA
945;V0945;2012;V0317 X NA
946;V0946;1857;NA X NA
947;V0947;2014;V0882 X NA
948;V0948;2010;V0909 X V0857
949;V0949;2008;NA X NA
950;V0950;2008;V0286 X V0168
951;V0951;1952;V0956 X V0514
952;V0952;1989;NA X V0752
953;V0953;2011;NA X V0367
954;V0954;1990;V1244 X NA
955;V0955;2008;NA X NA
956;V0956;1928;V0881 X V0514
957;V0957;1986;NA X NA
958;V0958;1983;NA X NA
959;V0959;1965;V0047 X V0994
960;V0960;2006;V0135 X NA
961;V0961;1993;NA X NA
962;V0962;2001;V0066 X V0619
963;V0963;1984;NA X NA
964;V0964;1924;NA X NA
965;V0965;2013;V0841 X V0266
966;V0966;2017;V0950 X NA
967;V0967;2005;NA X V0619
968;V0968;2000;V0317 X NA
969;V0969;1984;V1067 X NA
970;V0970;2003;NA X NA
971;V0971;2007;V0305 X NA
972;V0972;2019;V0395 X V0642
973;V0973;2004;V0238 X NA
974;V0974;1918;V1248 X NA
975;V0975;2013;NA X NA
976;V0976;1999;V0317 X NA
977;V0977;2011;NA X V0064
978;V0978;1936;V0002 X V1253
979;V0979;1998;V1003 X V0868
980;V0980;2012;NA X NA
981;V0981;2009;V0871 X V0072
982;V0982;2005;V0317 X NA
983;V0983;1987;V0256 X NA
984;V0984;2003;V1279 X NA
985;V0985;1936;V1001 X NA
986;V0986;2000;V0317 X NA
987;V0987;2012;V0062 X NA
988;V0988;1883;V0196 X NA
989;V0989;2007;NA X NA
990;V0990;2001;V0731 X NA
991;V0991;1939;NA X NA
992;V0992;1870;NA X NA
993;V0993;2005;NA X NA
994;V0994;1932;NA X NA
995;V0995;2016;V0518 X V0969
996;V0996;2014;NA X NA
997;V0997;2012;NA X V0024
998;V0998;2007;V0317 X V0064
999;V0999;2018;NA X NA
1000;V1000;2009;NA X NA
1001;V1001;1923;NA X V0881
1002;V1002;1990;NA X V0731
1003;V1003;1976;NA X NA
1004;V1004;1983;V0047 X V0292
1005;V1005;2013;V0518 X V0779
1006;V1006;2007;NA X V0209
1007;V1007;2009;V1239 X NA
1008;V1008;1999;V1163 X NA
1009;V1009;2011;NA X V0072
1010;V1010;1938;NA X V0994
1011;V1011;2018;V0950 X NA
1012;V1012;2007;V1184 X NA
1013;V1013;1998;V1148 X NA
1014;V1014;1990;NA X NA
1015;V1015;1998;NA X NA
1016;V1016;1993;NA X NA
1017;V1017;2010;NA X V0460
1018;V1018;2011;NA X V0642
1019;V1019;2018;V1082 X V0295
1020;V1020;1955;V0978 X NA
1021;V1021;2010;V0799 X NA
1022;V1022;1949;NA X V0479
1023;V1023;1850;NA X NA
1024;V1024;1961;NA X NA
1025;V1025;1951;NA X V0377
1026;V1026;1804;NA X NA
1027;V1027;1982;NA X NA
1028;V1028;1989;V1067 X NA
1029;V1029;1945;V0600 X NA
1030;V1030;2018;NA X NA
1031;V1031;1958;NA X V0039
1032;V1032;NA;NA X NA
1033;V1033;1985;NA X V0856
1034;V1034;1991;NA X NA
1035;V1035;1997;NA X NA
1036;V1036;2012;NA X V0961
1037;V1037;1967;V0280 X V1208
1038;V1038;1998;NA X NA
1039;V1039;1750;NA X NA
1040;V1040;1890;NA X NA
1041;V1041;1936;V1058 X V0964
1042;V1042;1961;V0047 X V1262
1043;V1043;1971;V0047 X NA
1044;V1044;1989;NA X NA
1045;V1045;1924;NA X V0417
1046;V1046;2005;V0305 X NA
1047;V1047;2003;V0181 X V0585
1048;V1048;2006;V1143 X V1015
1049;V1049;2015;NA X NA
1050;V1050;2020;NA X NA
1051;V1051;1946;NA X V0339
1052;V1052;1992;NA X V0214
1053;V1053;2007;NA X V0184
1054;V1054;1953;V0228 X NA
1055;V1055;2016;NA X NA
1056;V1056;1999;V0983 X V0343
1057;V1057;1971;NA X NA
1058;V1058;1928;V1262 X V0616
1059;V1059;1983;NA X NA
1060;V1060;1982;NA X NA
1061;V1061;2012;V1193 X NA
1062;V1062;2011;NA X V0882
1063;V1063;2014;NA X NA
1064;V1064;1908;NA X NA
1065;V1065;1992;V1274 X NA
1066;V1066;2018;V0970 X NA
1067;V1067;1977;V0720 X V0047
1068;V1068;1958;V0091 X NA
1069;V1069;2001;V0697 X NA
1070;V1070;1999;V0317 X V1277
1071;V1071;1936;NA X NA
1072;V1072;2007;NA X V1008
1073;V1073;1890;NA X NA
1074;V1074;2019;V0095 X V0793
1075;V1075;1887;V1245 X NA
1076;V1076;2014;NA X NA
1077;V1077;1918;NA X NA
1078;V1078;2008;V0970 X NA
1079;V1079;2002;V1163 X V0256
1080;V1080;1984;V0823 X V1277
1081;V1081;2005;NA X NA
1082;V1082;2013;NA X V0749
1083;V1083;2016;NA X NA
1084;V1084;2018;NA X V0882
1085;V1085;1989;NA X NA
1086;V1086;2010;NA X NA
1087;V1087;1918;NA X NA
1088;V1088;1990;V0176 X V0005
1089;V1089;2010;NA X NA
1090;V1090;1992;V0848 X NA
1091;V1091;2009;V1027 X V0470
1092;V1092;2009;NA X V1184
1093;V1093;1987;NA X V0336
1094;V1094;1990;V1220 X V1097
1095;V1095;2007;NA X V0024
1096;V1096;1984;V0244 X V0005
1097;V1097;1982;NA X V0959
1098;V1098;2003;V1163 X NA
1099;V1099;1912;V0738 X NA
1100;V1100;2000;V1163 X NA
1101;V1101;2006;V0305 X V0465
1102;V1102;2004;V0901 X V0871
1103;V1103;1965;NA X NA
1104;V1104;1995;V1144 X NA
1105;V1105;1992;NA X V1033
1106;V1106;2004;NA X V1193
1107;V1107;2008;V1193 X NA
1108;V1108;1984;NA X NA
1109;V1109;1996;NA X V0582
1110;V1110;1999;V0481 X NA
1111;V1111;1919;NA X NA
1112;V1112;1997;NA X NA
1113;V1113;1934;NA X NA
1114;V1114;2008;V1037 X NA
1115;V1115;1955;V0032 X V0039
1116;V1116;2017;V1163 X V0684
1117;V1117;1965;NA X NA
1118;V1118;1967;NA X V0827
1119;V1119;1996;NA X V1208
1120;V1120;2017;NA X V0857
1121;V1121;1986;V0256 X NA
1122;V1122;1991;NA X NA
1123;V1123;1943;V0673 X NA
1124;V1124;1981;V0940 X NA
1125;V1125;1971;NA X V0776
1126;V1126;2017;V0084 X V0128
1127;V1127;1915;NA X V0514
1128;V1128;1998;V0422 X V0155
1129;V1129;1964;NA X V0559
1130;V1130;1990;NA X V0422
1131;V1131;2011;NA X NA
1132;V1132;1967;NA X V0994
1133;V1133;1995;NA X V1027
1134;V1134;2013;NA X V0619
1135;V1135;1943;V0552 X V0994
1136;V1136;2010;NA X V0252
1137;V1137;2010;V0841 X V0642
1138;V1138;1942;V0719 X V0514
1139;V1139;1750;NA X NA
1140;V1140;1978;NA X NA
1141;V1141;2013;NA X V0749
1142;V1142;1976;V0959 X NA
1143;V1143;1998;NA X NA
1144;V1144;1983;V0591 X V0005
1145;V1145;2011;NA X NA
1146;V1146;2005;NA X NA
1147;V1147;2000;NA X NA
1148;V1148;1988;NA X NA
1149;V1149;2013;NA X V0662
1150;V1150;2009;NA X V0922
1151;V1151;1976;NA X NA
1152;V1152;1946;NA X NA
1153;V1153;1974;V0959 X V0202
1154;V1154;1991;NA X NA
1155;V1155;2009;NA X NA
1156;V1156;1940;V1262 X NA
1157;V1157;1979;NA X NA
1158;V1158;2005;V0256 X NA
1159;V1159;1995;V0731 X V1027
1160;V1160;2016;NA X V1119
1161;V1161;1966;V0880 X V1138
1162;V1162;1996;NA X NA
1163;V1163;1973;V0202 X NA
1164;V1164;2018;V1179 X NA
1165;V1165;1909;NA X V1177
1166;V1166;2018;NA X NA
1167;V1167;1750;NA X NA
1168;V1168;2016;NA X NA
1169;V1169;2018;V1008 X V1146
1170;V1170;2012;NA X NA
1171;V1171;1944;V1058 X NA
1172;V1172;2002;V0560 X NA
1173;V1173;2006;NA X V1193
1174;V1174;2002;NA X NA
1175;V1175;2006;V0619 X V0825
1176;V1176;1982;V0586 X V0959
1177;V1177;1876;V0495 X NA
1178;V1178;1969;NA X NA
1179;V1179;2007;NA X V0012
1180;V1180;1960;NA X NA
1181;V1181;1989;V1003 X V1151
1182;V1182;1981;V0202 X NA
1183;V1183;1999;V1163 X V0868
1184;V1184;1981;V0276 X NA
1185;V1185;2009;NA X V1184
1186;V1186;2020;NA X NA
1187;V1187;2018;NA X NA
1188;V1188;1990;V1118 X NA
1189;V1189;2006;V0893 X NA
1190;V1190;2011;NA X V0167
1191;V1191;1950;V0991 X V0377
1192;V1192;2008;V0317 X V0882
1193;V1193;1993;V0658 X NA
1194;V1194;1898;NA X NA
1195;V1195;1975;NA X V0935
1196;V1196;1750;NA X NA
1197;V1197;1974;NA X V0202
1198;V1198;1985;V1246 X NA
1199;V1199;1976;NA X NA
1200;V1200;1951;V0875 X NA
1201;V1201;2008;V0893 X NA
1202;V1202;1980;V0484 X NA
1203;V1203;1900;NA X NA
1204;V1204;1927;V0616 X NA
1205;V1205;2000;NA X V1274
1206;V1206;1995;V0184 X V0036
1207;V1207;1975;V0809 X NA
1208;V1208;1961;NA X NA
1209;V1209;1948;V0040 X V0883
1210;V1210;2010;V0305 X V0012
1211;V1211;1979;NA X V0809
1212;V1212;1996;V0256 X V1043
1213;V1213;1994;V0710 X V1060
1214;V1214;2006;V1193 X NA
1215;V1215;1966;NA X NA
1216;V1216;2013;NA X V0871
1217;V1217;1973;NA X V0797
1218;V1218;2010;NA X NA
1219;V1219;2010;V0799 X V1148
1220;V1220;1974;V1222 X NA
1221;V1221;1956;V1138 X V0091
1222;V1222;1955;V0611 X V0753
1223;V1223;1999;NA X NA
1224;V1224;2013;NA X V0382
1225;V1225;1969;NA X NA
1226;V1226;2008;NA X V1274
1227;V1227;2013;NA X V0871
1228;V1228;1936;V1058 X V0147
1229;V1229;2002;NA X NA
1230;V1230;1999;NA X NA
1231;V1231;2019;V0126 X V1190
1232;V1232;2009;NA X NA
1233;V1233;1999;NA X NA
1234;V1234;1969;V0809 X NA
1235;V1235;1982;NA X V1171
1236;V1236;2003;NA X NA
1237;V1237;2014;NA X V0545
1238;V1238;1999;NA X V1085
1239;V1239;1998;V0408 X V0209
1240;V1240;1928;NA X V0600
1241;V1241;2018;NA X V0992
1242;V1242;1988;NA X V0005
1243;V1243;1988;V0256 X NA
1244;V1244;1975;NA X NA
1245;V1245;1867;V0946 X NA
1246;V1246;1969;V0047 X NA
1247;V1247;1990;NA X V0422
1248;V1248;1897;NA X NA
1249;V1249;2006;V0286 X NA
1250;V1250;1981;V0875 X V0497
1251;V1251;2008;V0571 X NA
1252;V1252;2021;NA X V0900
1253;V1253;1930;V0058 X NA
1254;V1254;1875;V1245 X V1245
1255;V1255;1995;NA X V0708
1256;V1256;2004;NA X NA
1257;V1257;2011;NA X NA
1258;V1258;1977;NA X NA
1259;V1259;1881;NA X NA
1260;V1260;2001;V0184 X NA
1261;V1261;1853;NA X NA
1262;V1262;1911;V0624 X NA
1263;V1263;2010;V1104 X V0240
1264;V1264;1930;V1073 X NA
1265;V1265;1998;V1108 X V0394
1266;V1266;2023;V0950 X V1190
1267;V1267;1978;NA X V1221
1268;V1268;2016;V0816 X V0252
1269;V1269;1998;NA X NA
1270;V1270;1962;NA X NA
1271;V1271;2020;V0801 X NA
1272;V1272;1977;V1152 X V0781
1273;V1273;1942;NA X NA
1274;V1274;1973;NA X V1024
1275;V1275;1989;V0240 X NA
1276;V1276;1935;NA X NA
1277;V1277;1964;V0617 X V0753
1278;V1278;2009;V1163 X V0053
1279;V1279;1998;NA X NA
1280;V1280;2020;V1237 X NA
1281;V1281;2012;NA X NA
1282;V1282;2004;NA X NA
1283;V1283;1848;NA X NA
1284;V1284;1978;NA X NA
1285;V1285;2001;NA X NA
1286;V1286;1995;V1067 X NA
