;Name;Year;Available.Pedigree
195;V0195;2012;V0138 X NA
196;V0196;1881;V0109 X V0109
197;V0197;1999;NA X NA
198;V0198;1939;V0719 X NA
199;V0199;2009;V0455 X NA
200;V0200;1957;NA X NA
201;V0201;2014;V0256 X NA
202;V0202;1962;NA X NA
203;V0203;2012;V0138 X NA
204;V0204;1800;NA X NA
205;V0205;2007;V0317 X NA
206;V0206;2004;NA X NA
207;V0207;2010;NA X V1193
208;V0208;2001;V1198 X NA
209;V0209;1994;NA X NA
210;V0210;1994;V0848 X V0708
211;V0211;1937;NA X NA
212;V0212;2007;V0317 X NA
213;V0213;2021;V0945 X V0106
214;V0214;1976;NA X NA
215;V0215;1999;V0256 X V1144
216;V0216;1933;V0719 X V1001
217;V0217;1970;V0444 X V0668
218;V0218;1956;V0235 X NA
219;V0219;2012;NA X NA
220;V0220;2010;NA X NA
221;V0221;1902;NA X NA
222;V0222;2013;NA X V1085
223;V0223;1955;NA X V0896
224;V0224;1991;NA X V0959
225;V0225;1975;V0935 X V0797
226;V0226;2006;V1193 X NA
227;V0227;2004;NA X NA
228;V0228;1906;V1245 X NA
229;V0229;2010;NA X NA
230;V0230;1955;NA X NA
231;V0231;2016;V0317 X NA
232;V0232;1977;NA X NA
233;V0233;1984;V0879 X NA
234;V0234;1880;V1245 X NA
235;V0235;1922;NA X NA
236;V0236;2017;V0806 X V0619
237;V0237;2002;V0818 X NA
238;V0238;1998;V0598 X V0336
239;V0239;1991;V0324 X NA
240;V0240;1966;NA X NA
241;V0241;2010;NA X NA
242;V0242;1993;NA X NA
243;V0243;2001;NA X V1080
244;V0244;1966;V0049 X NA
245;V0245;1990;NA X NA
246;V0246;2009;NA X NA
247;V0247;2009;NA X V0465
248;V0248;2010;NA X NA
249;V0249;2014;NA X NA
250;V0250;2006;V0317 X V0465
251;V0251;2002;NA X V0862
252;V0252;2001;V0176 X V0005
253;V0253;1926;NA X V1262
254;V0254;2016;V0714 X NA
255;V0255;2006;V0882 X NA
256;V0256;1968;V0328 X NA
257;V0257;2007;V0871 X NA
258;V0258;1983;V0560 X V0586
259;V0259;1901;NA X NA
260;V0260;1920;NA X NA
261;V0261;1950;V0039 X NA
262;V0262;1984;V0011 X NA
263;V0263;1750;NA X NA
264;V0264;1983;NA X NA
265;V0265;2017;NA X NA
266;V0266;2005;NA X NA
267;V0267;1996;V0317 X NA
268;V0268;2007;NA X NA
269;V0269;2008;V0585 X V0882
270;V0270;1970;V0797 X V0047
271;V0271;1926;V0058 X NA
272;V0272;1870;NA X NA
273;V0273;1989;V0611 X V0053
274;V0274;1992;V1067 X NA
275;V0275;1987;V0428 X NA
276;V0276;1967;V1222 X NA
277;V0277;1993;V0232 X NA
278;V0278;2019;NA X NA
279;V0279;1930;NA X NA
280;V0280;1959;NA X NA
281;V0281;2007;NA X NA
282;V0282;2019;NA X NA
283;V0283;1989;V0336 X V0005
284;V0284;1895;NA X NA
285;V0285;2008;V1193 X NA
286;V0286;1988;V1003 X V0005
287;V0287;1956;V0339 X V1138
288;V0288;1880;NA X NA
289;V0289;1969;NA X NA
290;V0290;2007;V0833 X NA
291;V0291;2010;V0395 X NA
292;V0292;1982;NA X NA
293;V0293;2010;V0796 X V1033
294;V0294;2004;NA X NA
295;V0295;2008;NA X V0662
296;V0296;1985;V1217 X V0176
297;V0297;1990;V0797 X NA
298;V0298;1921;NA X NA
299;V0299;1990;V0875 X NA
300;V0300;2011;NA X V0167
301;V0301;2014;NA X NA
302;V0302;1969;NA X NA
303;V0303;2000;V0317 X NA
304;V0304;1875;NA X NA
305;V0305;1993;V1163 X NA
306;V0306;2016;NA X NA
307;V0307;1959;V0737 X NA
308;V0308;2010;NA X V1247
